zip,msa,beds,max_rent,prior_acq
85353,Phoenix,3,2410,Yes
85353,Phoenix,4,2680,Yes
30127,Atlanta,3,2040,Yes
30127,Atlanta,4,2450,Yes
75077,Dallas,3,2220,Yes
75077,Dallas,4,2830,Yes
28075,Charlotte,3,2520,Yes
28075,Charlotte,4,3200,Yes
75409,Dallas,3,2470,Yes
75409,Dallas,4,3140,Yes
30016,Atlanta,3,1840,Yes
30016,Atlanta,4,2200,Yes
30157,Atlanta,3,1790,Yes
30157,Atlanta,4,2160,Yes
30252,Atlanta,3,2070,Yes
30252,Atlanta,4,2470,Yes
30253,Atlanta,3,1800,Yes
30253,Atlanta,4,2150,Yes
30248,Atlanta,3,1680,Yes
30248,Atlanta,4,2010,Yes
85032,Phoenix,3,2130,
85032,Phoenix,4,2360,
85085,Phoenix,3,2600,
85085,Phoenix,4,2890,
85083,Phoenix,3,3070,
85083,Phoenix,4,3430,
85086,Phoenix,3,3110,
85086,Phoenix,4,3460,
85201,Phoenix,3,1850,
85201,Phoenix,4,2050,
85212,Phoenix,3,2560,
85212,Phoenix,4,2870,
85024,Phoenix,3,2560,
85024,Phoenix,4,2840,
85048,Phoenix,3,2820,
85048,Phoenix,4,3130,
85310,Phoenix,3,3090,
85310,Phoenix,4,3450,
85225,Phoenix,3,2330,
85225,Phoenix,4,2570,
85050,Phoenix,3,3170,
85050,Phoenix,4,3520,
85224,Phoenix,3,2520,
85224,Phoenix,4,2880,
85203,Phoenix,3,1850,
85203,Phoenix,4,2050,
85044,Phoenix,3,2740,
85044,Phoenix,4,3040,
85308,Phoenix,3,2600,
85308,Phoenix,4,2890,
37221,Nashville,3,2180,
37221,Nashville,4,2680,
85249,Phoenix,3,2940,
85249,Phoenix,4,3290,
37189,Nashville,3,1690,
37189,Nashville,4,2090,
85206,Phoenix,3,2070,
85206,Phoenix,4,2320,
37211,Nashville,3,1830,
37211,Nashville,4,2250,
37218,Nashville,3,1750,
37218,Nashville,4,2150,
85022,Phoenix,3,2410,
85022,Phoenix,4,2680,
37122,Nashville,3,2260,
37122,Nashville,4,2790,
85027,Phoenix,3,2310,
85027,Phoenix,4,2570,
37207,Nashville,3,1570,
37207,Nashville,4,1940,
32095,Jacksonville,3,1640,
32095,Jacksonville,4,2060,
85207,Phoenix,3,1960,
85207,Phoenix,4,2170,
85209,Phoenix,3,2230,
85209,Phoenix,4,2490,
85213,Phoenix,3,1960,
85213,Phoenix,4,2170,
85286,Phoenix,3,2680,
85286,Phoenix,4,3000,
37076,Nashville,3,1860,
37076,Nashville,4,2280,
85208,Phoenix,3,1960,
85208,Phoenix,4,2170,
85215,Phoenix,3,2320,
85215,Phoenix,4,2600,
37214,Nashville,3,1990,
