num,street,city,state,zip,msa,yearbuilt,sqft,baths,beds,closing_serial,price,hoa,taxes,uw_rent,ref_rent,zillow_rent
1,10 Chapman Way,Covington,GA,30016,Atlanta,2005,2058,2.5,4,45810,295000,0,3050,2055,2166.3138200580202,2135
2,100 Concorde Dr,Villa Rica,GA,30180,Atlanta,2001,1883,2,3,45722,253000,0,2898.69,1915,2153.8989344512202,1782
3,10022 W Luxton Ln,Tolleson,AZ,85353,Phoenix,2006,2129,2.5,3,45805,380000,588,1682.84,2215,2372.40043582519,2160
4,10040 W Kingman St,Tolleson,AZ,85353,Phoenix,2005,1819,3.5,4,46099,312000,2320,1696.49,1995,2390.4115960303998,2036
5,1010 Hanover Dr,Forney,TX,75126,Dallas,2002,2925,2,4,45852,290000,535,6382.9,2545,2833.8255942188698,2442
6,1013 Urban Dr,Desoto,TX,75115,Dallas,2003,2263,2,4,45694,280000,0,6392.4,2335,2520.5479252738401,2581
7,10130 Illoria Dr,Charlotte,NC,28273,Charlotte,1999,1211,2,3,45804,330000,121,2534.81,1875,1706.51044162626,1942
8,10132 Green Hedge Ave,Charlotte,NC,28269,Charlotte,2002,1596,2.5,3,45719,324500,232.34,2579.5300000000002,1955,2031.77375234745,1985
9,1015 Lakeside Cir,Covington,GA,30016,Atlanta,2002,1508,2,3,45846,221000,604,2210,1735,1890.2644703169999,1754
10,10330 Seedling Ln,Charlotte,NC,28214,Charlotte,2003,2044,2.5,4,45805,340000,420,2620.08,2145,2265.80121313462,2296
11,10400 Hyndman Ct,Charlotte,NC,28214,Charlotte,1997,1671,2.1,4,46104,300000,0,2077.65,1925,2076.2224546289899,2101
12,10415 Plantain Ct,Charlotte,NC,28213,Charlotte,2002,2288,2.5,4,45728,335000,320,3210.13,2215,2485.2940608990698,2147
13,10500 Flagstaff Run,Fort Worth,TX,76140,Dallas,2006,1620,2,4,46101,220000,160,5313,1975,2110.3183400243902,2053
14,10618 W Pima St,Tolleson,AZ,85353,Phoenix,2004,1687,2,3,45931,340000,859.92,1650.29,2045,2283.0310767750302,1916
15,107 H Grier Dr,McDonough,GA,30253,Atlanta,2005,1841,2.5,4,45933,270000,0,3852,1975,2126.3559142815202,2302
16,10701 Many Oaks Dr,Fort Worth,TX,76140,Dallas,2006,1091,2,3,45775,200000,0,4816,1675,1664.8933600443299,1684
17,1101 Marsh Ct,Hampton,GA,30228,Atlanta,2005,2120,2,4,46160,267000,0,4272,2110,2300.9342220139501,2038
18,1102 Alexandria Dr,Forney,TX,75126,Dallas,2002,1433,2,3,45758,220000,535,4848.8,1825,1966.0264246327899,1831
19,1111 Balcorn Pl,Charlotte,NC,28214,Charlotte,2001,2046,3,4,45933,355000,190,2624.13,2130,2266.6875775676199,2055
20,1114 Cherrytree Dr,Arlington,TX,76001,Dallas,1991,1709,2.5,3,46097,270000,0,6048,2195,2090.4735216736699,2287
21,1119 Saint Phillips Ct,Locust Grove,GA,30248,Atlanta,2002,2101,2.5,4,45964,248000,200,3609.41,1995,2188.2990383259798,1891
22,11218 W Calle de la Luna,Phoenix,AZ,85037,Phoenix,1998,1845,2,4,46101,325500,648,833.24,2050,2237.2116472255202,2191
23,11239 W Campbell Ave,Phoenix,AZ,85037,Phoenix,1999,1845,2,4,46163,345000,654.36,1828.63,2095,2237.2116472255202,2097
24,1139 Vine Cliff Ln,Charlotte,NC,28214,Charlotte,2001,2231,2.5,4,46106,335000,420,2660.95,2130,2343.21455732091,2240
25,115 Stone Commons Way,Covington,GA,30016,Atlanta,2007,2387,2.5,4,46168,306500,156,3060,2125,2450.95203269687,2188
26,118 Julie Ln,Stockbridge,GA,30281,Atlanta,2002,1376,2,3,46072,205000,0,3602.95,1715,1799.8304924561701,
